SampleID	Sample1	Location	Treatment	Timing	Treated	depth_below_plot_cm	depth_below_ground_cm	Replicate	C	N	Clay	Silt	Sand	Notes	NO3	NO2	DOC	CaCO3	Ca	Cl	K	Mg	Mn	Na	pH	EC	Dissolved_solids	SO4	Fe	As	Pb	Cd	Cr	Zn
180829-KTYA-P3-AFTER-080-2	180829-KTYA-P3-AFTER-080	KTYA	MX	After	TRUE	80	180	2	0.07	0.01	4.03	5.9	93.7																					
180829-KTYA-P3-AFTER-080-3	180829-KTYA-P3-AFTER-080	KTYA	MX	After	TRUE	80	180	3	0.07	0.01	4.03	5.9	93.7																					
HSPSample1	HSPSample1	HSP	WC	Before	FALSE	10	100	1	0.029	0.0034	0.93	4.47	94.6																					
HSPSample10	HSPSample10	HSP	NS	After	FALSE	70	130	1	0.044	0.0023	1.37	4.12	94.51																					
HSPSample11	HSPSample11	HSP	WC	Before	FALSE	10	100	1	0.031	0.0031	1.05	3.87	95.08	150902 030piez																				
HSPSample12	HSPSample12	HSP	WC	Before	FALSE	50	140	1	0.034	0.0026	1.69	5.46	92.85																					
HSPSample13	HSPSample13	HSP	WC	Before	FALSE	70	160	1	0.031	0.0027	0.95	4.76	94.29																					
HSPSample14	HSPSample14	HSP	WC	Before	FALSE	90	180	1	0.039	0.0041	1.45	7.11	91.44																					
HSPSample15	HSPSample15	HSP	WC	Before	FALSE	110	200	1	0.038	0.004	1.74	7.19	91.07																					
HSPSample16	HSPSample16	HSP	WC	After	TRUE	10	100	1	0.031	0.0031	1.05	3.87	95.08	used before # for C and N																				
HSPSample17	HSPSample17	HSP	WC	After	TRUE	50	140	1	0.034	0.0026	1.69	5.46	92.85	used before # for C and N																				
HSPSample18	HSPSample18	HSP	WC	After	TRUE	70	160	1	0.031	0.0027	0.95	4.76	94.29	used before # for C and N																				
HSPSample19	HSPSample19	HSP	WC	After	TRUE	90	180	1	0.039	0.0041	1.45	7.11	91.44	used before # for C and N																				
HSPSample2	HSPSample2	HSP	WC	Before	FALSE	90	180	1	0.069	0.003	1.71	3.89	94.42																					
HSPSample20	HSPSample20	HSP	WC	After	TRUE	110	200	1	0.038	0.004	1.74	7.19	91.07	used before # for C and N																				
HSPSample3	HSPSample3	HSP	WC	After	TRUE	10	100	1	0.068	0.0074	0.93	4.47	94.6																					
HSPSample4	HSPSample4	HSP	WC	After	TRUE	90	180	1	0.038	0.0047	1.74	7.19	91.07																					
HSPSample5	HSPSample5	HSP	NS	Before	FALSE	20	80	1	0.042	0.0059	1.81	4.57	93.62																					
HSPSample6	HSPSample6	HSP	NS	Before	FALSE	50	110	1	0.04	0.0059	1.63	5.15	93.22																					
HSPSample7	HSPSample7	HSP	NS	Before	FALSE	70	130	1	0.039	0.0042	1.37	4.12	94.51																					
HSPSample8	HSPSample8	HSP	NS	After	FALSE	20	80	1	0.031	0.0037	1.81	4.57	93.62																					
HSPSample9	HSPSample9	HSP	NS	After	FALSE	50	110	1	0.052	0.0056	1.63	5.15	93.22																					
